"","X_id","category"
"921","P36","OBSGYN"
"922","P360","OBSGYN"
"923","P361","OBSGYN"
"924","P362","OBSGYN"
"925","P363","OBSGYN"
"926","P364","OBSGYN"
"927","P365","OBSGYN"
"928","P368","OBSGYN"
"929","P369","OBSGYN"
"930","P37","OBSGYN"
"931","P370","OBSGYN"
"932","P371","OBSGYN"
"933","P372","OBSGYN"
"934","P373","OBSGYN"
"935","P374","OBSGYN"
"936","P375","OBSGYN"
"937","P378","OBSGYN"
"938","P379","OBSGYN"
"939","P38","OBSGYN"
"940","P39","OBSGYN"
"941","P390","OBSGYN"
"942","P391","OBSGYN"
"943","P392","OBSGYN"
"944","P393","OBSGYN"
"945","P394","OBSGYN"
"946","P398","OBSGYN"
"947","P399","OBSGYN"
"948","P50","OBSGYN"
"949","P500","OBSGYN"
"950","P501","OBSGYN"
"951","P502","OBSGYN"
"952","P503","OBSGYN"
"953","P504","OBSGYN"
"954","P505","OBSGYN"
"955","P508","OBSGYN"
"956","P509","OBSGYN"
"957","P51","OBSGYN"
"958","P510","OBSGYN"
"959","P518","OBSGYN"
"960","P519","OBSGYN"
"961","P52","OBSGYN"
"962","P520","OBSGYN"
"963","P521","OBSGYN"
"964","P522","OBSGYN"
"965","P523","OBSGYN"
"966","P524","OBSGYN"
"967","P525","OBSGYN"
"968","P526","OBSGYN"
"969","P528","OBSGYN"
"970","P529","OBSGYN"
"971","P53","OBSGYN"
"972","P54","OBSGYN"
"973","P540","OBSGYN"
"974","P541","OBSGYN"
"975","P542","OBSGYN"
"976","P543","OBSGYN"
